Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Rover frame,-0.243150296037687,0.000263190444826854,-0.13955963438326,0,0,0,2.86544274049469,0.103079825863941,-0.00028741576657649,-0.024219701014768,0.230618546322903,-8.00119839628446E-05,0.290474747721043,0,0,0,0,0,0,package://Rover_URDF_V6/meshes/Rover frame.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Rover_URDF_V6/meshes/Rover frame.STL,,Rover_frame-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
ROCKER_LEFT,0.139048575547332,0.0568819457775859,-0.136559167839173,0,0,0,0.579187943154894,0.0162321767609425,-0.00190251794418471,0.0161440030163214,0.0398303894187238,0.00176620669465801,0.0250700952148031,0,0,0,0,0,0,package://Rover_URDF_V6/meshes/ROCKER_LEFT.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Rover_URDF_V6/meshes/ROCKER_LEFT.STL,,Rocker_left_1-1,Origin_Rocker 1,Axis1 <Rocker_left_1-1>,ROCKER_LEFT,revolute,-0.18,0.23,-0.105,0,0,0,Rover frame,0,-1,0,0,0,-3.14,3.14,,,,,,,,
WHEEL_LEFT_1,-2.99662066938211E-07,0.00360724960649245,3.84709154477303E-07,0,0,0,0.661468155426341,0.00328166078244697,-5.15589834401003E-09,1.39838043941455E-08,0.0049256583160167,5.53680141712725E-09,0.00328165560675197,0,0,0,0,0,0,package://Rover_URDF_V6/meshes/WHEEL_LEFT_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Rover_URDF_V6/meshes/WHEEL_LEFT_1.STL,,WHEEL-1,Origin_Wheel 1,Axis1 <WHEEL-1>,WHEEL_LEFT_1,continuous,0.382662102951201,0.123225887939064,-0.361901043548741,0,0,0,ROCKER_LEFT,0,1,0,,,,,,,,,,,,
BOGIE_LEFT,-0.0111659408000892,0.0590980195480928,-0.140377658720661,0,0,0,0.610019922157182,0.0063962905338488,9.79356386967467E-05,0.00129677615475348,0.0267237629056145,0.00123121418340467,0.0225962399480278,0,0,0,0,0,0,package://Rover_URDF_V6/meshes/BOGIE_LEFT.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Rover_URDF_V6/meshes/BOGIE_LEFT.STL,,Bogie_left-1,Origin_Bogie 1,Axis1 <Bogie_left-1>,BOGIE_LEFT,revolute,-0.31538,0.046,-0.13063,0,0,0,ROCKER_LEFT,0,-1,0,0,0,-3.14,3.14,,,,,,,,
WHEEL_LEFT_2,-4.49373081301552E-07,0.00360724960451614,-1.89377730774876E-07,0,0,0,0.661468155505938,0.00328164893854824,-6.68648749828488E-09,-1.0796461343775E-08,0.00492565831652997,-3.54014186072834E-09,0.00328166745142221,0,0,0,0,0,0,package://Rover_URDF_V6/meshes/WHEEL_LEFT_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Rover_URDF_V6/meshes/WHEEL_LEFT_2.STL,,WHEEL-2,Origin_Wheel 2,Axis1 <WHEEL-2>,WHEEL_LEFT_2,continuous,0.21511,0.11323,-0.24086,0,0,0,BOGIE_LEFT,0,1,0,,,,,,,,,,,,
WHEEL_LEFT_3,4.76505994440046E-07,0.00360724960591946,1.03132735407296E-07,0,0,0,0.661468155473325,0.00328164565064902,7.22517474059008E-09,-6.69955586059903E-09,0.00492565831642526,2.24508494013085E-09,0.00328167073916227,0,0,0,0,0,0,package://Rover_URDF_V6/meshes/WHEEL_LEFT_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Rover_URDF_V6/meshes/WHEEL_LEFT_3.STL,,WHEEL-3,Origin_Wheel 3,Axis1 <WHEEL-3>,WHEEL_LEFT_3,continuous,-0.250478847483995,0.113225887939228,-0.203830872402604,0,0,0,BOGIE_LEFT,0,1,0,,,,,,,,,,,,
ROCKER_RIGHT,0.137271686807884,-0.0569233460081618,-0.134816279796468,0,0,0,0.573820394243737,0.0160231625655688,0.00190514910501952,0.0159064226146121,0.039279568621231,-0.00176916002629723,0.0247223029955178,0,0,0,0,0,0,package://Rover_URDF_V6/meshes/ROCKER_RIGHT.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Rover_URDF_V6/meshes/ROCKER_RIGHT.STL,,Rocker_right_1-1,Origin_Rocker 2,Axis1 <Rocker_right_1-1>,ROCKER_RIGHT,revolute,-0.18,-0.23,-0.105,0,0,0,Rover frame,0,1,0,0,0,-3.14,3.14,,,,,,,,
WHEEL_RIGHT_1,-3.30888364541426E-07,-0.00360724960008663,-3.58384195986439E-07,0,0,0,0.661468155581708,0.0032816584074904,5.60136479547418E-09,-1.42199336075502E-08,0.00492565831656419,5.08481317780286E-09,0.00328165798252191,0,0,0,0,0,0,package://Rover_URDF_V6/meshes/WHEEL_RIGHT_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Rover_URDF_V6/meshes/WHEEL_RIGHT_1.STL,,WHEEL-4,Origin_Wheel 4,Axis1 <WHEEL-4>,WHEEL_RIGHT_1,continuous,0.382662102951851,-0.123225887938964,-0.361901043547985,0,0,0,ROCKER_RIGHT,0,-1,0,,,,,,,,,,,,
BOGIE_RIGHT,0.00567951869936573,-0.0590980217287946,-0.140706474589123,0,0,0,0.610019863314744,0.00631982792824684,4.98157067752247E-05,-0.000661142252558762,0.0267237618563475,-0.00123409793479078,0.0226727014391352,0,0,0,0,0,0,package://Rover_URDF_V6/meshes/BOGIE_RIGHT.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Rover_URDF_V6/meshes/BOGIE_RIGHT.STL,,Bogie_right-1,Origin_Bogie 2,Axis1 <Bogie_right-1>,BOGIE_RIGHT,revolute,-0.31538,-0.046,-0.13063,0,0,0,ROCKER_RIGHT,0,1,0,0,0,-3.14,3.14,,,,,,,,
WHEEL_RIGHT_2,-2.77302413753677E-07,-0.00360724960479997,-4.01151138085254E-07,0,0,0,0.661468155528425,0.00328166235270544,4.83301509225145E-09,-1.3599983221035E-08,0.00492565831662226,5.82089051461768E-09,0.00328165403739764,0,0,0,0,0,0,package://Rover_URDF_V6/meshes/WHEEL_RIGHT_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Rover_URDF_V6/meshes/WHEEL_RIGHT_2.STL,,WHEEL-5,Origin_Wheel 5,Axis1 <WHEEL-5>,WHEEL_RIGHT_2,continuous,0.242334028869752,-0.113225887939364,-0.213449984851394,0,0,0,BOGIE_RIGHT,0,-1,0,,,,,,,,,,,,
